Timestamp,Link,Name,OS,Mountain,Select TT Challenge.10,Enter time as (sec).(mil) EX: 62.69.10,Select HS Challenge.10,Enter score as just a number.10,Challenge Type.9,Was WR,Unnamed: 69,challenge name,type,score,chaltype
2022-01-04 13:49:59,https://drive.google.com/open?id=1VBS48lnte0cJPvR_wdoyfGVpJsCidCR0,Foxster,Android,Elnakka,,,,,,FALSE,,The Boulder Hill Descent,High score,32076.0,Gated Trick
2022-01-05 5:40:59,https://drive.google.com/open?id=1fTAfg3_fjdqlacPJczgRiEW7lhfcDkVV,Foxster,Android,Elnakka,,,,,,FALSE,,Terve Jumping,High score,25754.0,Gated Trick
2022-01-05 6:01:38,https://drive.google.com/open?id=1gv4bgs36hc5tJxeH0aFN7CzJSmMWE_9X,Foxster,Android,Elnakka,,,,,,FALSE,,Elnakka Freedom,High score,23333.0,Open Trick
2022-01-06 9:35:22,https://drive.google.com/open?id=1rL9ACR2CVUZB332V3AO34SvCM--nyAuR,Mountain_Greg,Android,Elnakka,,,,,,FALSE,,The Road Gaps,High score,115.7,Triple Drop
2022-01-09 13:57:28,https://drive.google.com/open?id=1dbrhSuXpEKeYlIuZmQo3GLWooMsdzLEx,🍊Koolaid,iOS,Elnakka,,,,,,FALSE,,Terve Jumping,High score,23368.0,Gated Trick
2022-01-15 11:41:47,https://drive.google.com/open?id=1nWgCicopl2TtLfAiTTNvX2pjgT4o9zwW,Foxster,Android,Elnakka,,,,,,,,The Perfect Turns,Time trial,14.27,Race
2022-01-17 5:59:00,https://drive.google.com/open?id=1NVWsTFWCSDbFulHBvICi9oHf7sescBQh,Foxster,Android,Elnakka,,,,,,FALSE,,The Perfect Turns,Time trial,14.25,Race
2022-01-17 6:52:21,https://drive.google.com/open?id=1W4eq66YhpYGnEjkj_FYg-rInAPSdoNUR,Foxster,Android,Elnakka,,,,,,FALSE,,Super G,Time trial,36.96,Race
2022-01-24 13:14:55,https://drive.google.com/open?id=1zGE_mjBjBfiScbNFqDRUXc5wgfXr7UjV,Avel,iOS,Elnakka,,,,,,FALSE,,Pristine Rush,Time trial,22.27,Race
2022-02-13 21:01:46,https://drive.google.com/open?id=1yxahgZRKIq_68C7XckZOhmwG6q2lXejK,Caard,iOS,Elnakka,,,,,,TRUE,,The Yards,High score,60.5,Long Jump
2022-02-14 13:05:24,https://drive.google.com/open?id=1Xz1ovmvlUGll7SofhrRbxIQ2T0vNmgNn,hschindele,iOS,Elnakka,,,,,,TRUE,,Ellnau River Rush,Time trial,21.09,Trail
2022-02-15 18:17:13,https://drive.google.com/open?id=1tzSLnhktmnREnQcob_lKCNmZt7itPiO6,hschindele,iOS,Elnakka,,,,,,TRUE,,Clover Road Trail,Time trial,15.98,Trail
2022-02-15 18:27:46,https://drive.google.com/open?id=18ooY5jArhYOkRkJvRY9QG_Ti_L7TGugx,hschindele,iOS,Elnakka,,,,,,TRUE,,Swivel Loop,Time trial,10.85,Race
2022-02-16 8:58:36,https://drive.google.com/open?id=1yojyOyv_j4OP1tjAs70oclPlFRccHhXS,hschindele,iOS,Elnakka,,,,,,FALSE,,The Boulder Hill Descent,High score,31970.0,Gated Trick
2022-02-16 9:33:03,https://drive.google.com/open?id=1yW6ZK0hdJwTsa2uHXCrCShT75hB_ofkd,hschindele,iOS,Elnakka,,,,,,FALSE,,XL Park World,High score,30182.0,Gated Trick
2022-02-16 9:33:43,https://drive.google.com/open?id=1N78l45_XtgF0MLv-4x2BmQwuEiZPzdTd,hschindele,iOS,Elnakka,,,,,,FALSE,,Terve Jumping,High score,29924.0,Gated Trick
2022-02-16 13:50:29,https://drive.google.com/open?id=1zwWGVRgLrot9e3u1axw_JDKm-o7iIiUt,hschindele,iOS,Elnakka,,,,,,FALSE,,Elnakka Freedom,High score,24135.0,Open Trick
2022-02-20 20:55:56,https://drive.google.com/open?id=1PPpHNRBRUhn_xZz1WI8P2minMcRjfSYA,Avel,iOS,Elnakka,,,,,,TRUE,,The Yards,High score,60.7,Long Jump
2022-02-21 16:06:25,https://drive.google.com/open?id=1eL4KOteiaGPGBGUJ-o20xaUMAUgEPHSR,Avel,iOS,Elnakka,,,,,,FALSE,,Ellnau Shoulder Track,Time trial,30.91,Race
2022-02-21 17:16:48,https://drive.google.com/open?id=11OJwriOnRmyUx7LcZ3gJxojOLaClG3Jd,Jamiemac,Android,Elnakka,,,,,,FALSE,,Overshooting,High score,56.9,Single Drop
2022-02-21 17:17:27,https://drive.google.com/open?id=1XLJuLYmY14I3c_YpJcDlZAT_7V1qu1fV,Jamiemac,Android,Elnakka,,,,,,FALSE,,The Yards,High score,56.8,Long Jump
