Rank,Name,Points
0,hschindele,727100
1,Jamiemac,640200
2,Mountain_Greg,634000
3,Avel,594000
4,massiv97,444200
5,Ryan Monty,429600
6,SYNO,389177
7,Skier50,352700
8,BouncyJello,216000
9,Fenrir,121616
10,Pinsek,85000
11,James :),83100
12,SanicBuum,48700
13,OKAR_Spec,39500
14,Mimoskiia,10600
15,PelagusPlays,6698
16,Gjeep302,6450
