Rank,Name,Points
0,hschindele,411497
1,Mountain_Greg,355092
2,Avel,307093
3,Jamiemac,301491
4,Ryan Monty,241092
5,massiv97,235193
6,SYNO,226191
7,Gjeep302,218152
8,Skier50,207092
9,Pinsek,179092
10,BouncyJello,175029
11,Lars Schrier,89073
12,Fenrir,88416
13,Caard,22998
14,Jonathan,15700
15,DeathSpawned,13800
16,🍊Koolaid,11999
17,LC43,11099
18,waxton,8213
