Timestamp,Link,Name,OS,Mountain,Was WR,challenge name,type,score,chaltype
2021-01-04 14:12:17,https://drive.google.com/open?id=1SbsWwNePjuwq8QrCcNVbHTF15aZvnE1U,massiv97,Android,Rotkamm,False,Gross Air,Time trial,9.46,Trail
2021-01-04 17:36:37,https://drive.google.com/open?id=1l7I4qWmwJayMQ9eHlKWKXMQDKmer5Aw3,hschindele,iOS,Rotkamm,True,The Rollercoaster,Time trial,30.84,Trail
2021-01-04 17:38:07,https://drive.google.com/open?id=1cIHfozLPXFkY-6ExRfeNDQvxvE3YLh5b,massiv97,Android,Rotkamm,False,Slippery Slope,Time trial,22.77,Trail
2021-01-05 03:35:05,https://drive.google.com/open?id=15W51Ud9YG0RgUqPxSmeR2qMaL4g84bgK,Mountain_Greg,Android,Rotkamm,False,Skipping Icebergs,Time trial,28.33,Trail
2021-01-05 03:36:29,https://drive.google.com/open?id=1YXbAV_15Uy2S1zFSBAq9yniaJCUedK6w,Mountain_Greg,Android,Rotkamm,False,Gross Air,Time trial,9.41,Trail
2021-01-05 14:11:02,https://drive.google.com/open?id=15S0znItWEAsZ1yNd42UIQWylLUdcV9PF,massiv97,Android,Rotkamm,False,Staying Between The Stones,Time trial,25.73,Trail
2021-01-05 14:52:01,https://drive.google.com/open?id=1zYvw-g04orlPIo7UvXXlZrFxq7EE45ta,Mountain_Greg,Android,Rotkamm,False,The Broken Trail,Time trial,40.47,Race
2021-01-05 14:53:48,https://drive.google.com/open?id=18YZJJLczLtqZvU-32kyhxkzk0PSW84Yu,Mountain_Greg,Android,Rotkamm,False,The Rollercoaster,Time trial,31.22,Trail
2021-01-06 08:06:38,https://drive.google.com/open?id=13V_XTc94rpcxW5gKRxAgo5pu1ew5zg30,SYNO,iOS,Rotkamm,False,The Green Glades,Time trial,16.95,Race
2021-01-06 08:08:15,https://drive.google.com/open?id=1sRPvUG716-O0co0nZ7nVbRChz-dtKy7K,SYNO,iOS,Rotkamm,False,The Ice Bowl,Time trial,28.45,Race
2021-01-06 08:12:33,https://drive.google.com/open?id=15z66RxMvjltY4aXtquV8vUN2uqMVuH6u,SYNO,iOS,Rotkamm,False,The Broken Trail,Time trial,40.46,Race
2021-01-06 08:14:36,https://drive.google.com/open?id=1g49VPHmxGIxfUbRQ6DmJHIPrHMbVl6Dx,SYNO,iOS,Rotkamm,False,Slippery Slope,Time trial,22.54,Trail
2021-01-07 14:13:54,https://drive.google.com/open?id=15A66am3VbsFU43zCH18BqwWtmqNRkEsc,Mountain_Greg,Android,Rotkamm,False,The Ice Bowl,Time trial,28.63,Race
2021-01-07 14:15:40,https://drive.google.com/open?id=1ISOW70_-ktKAnjglPYC9h2ERqYeTwt0M,Mountain_Greg,Android,Rotkamm,False,The Green Glades,Time trial,16.94,Race
2021-01-07 21:53:52,https://drive.google.com/open?id=1FZLqe8AXJxsl4W6mHnbzPJ6-PRry1mcp,Gjeep302,Android,Rotkamm,True,Rotkamm Style I,High score,14623.0,Gated Trick
2021-01-07 21:54:51,https://drive.google.com/open?id=112yM2r9bjHymW2BGk7YDE_moLnXBA4IH,Gjeep302,Android,Rotkamm,True,Rotkamm Jumper,High score,11669.0,Gated Trick
2021-01-07 21:55:54,https://drive.google.com/open?id=1AGn80DITweYatI-5sXGAndHwy-5X9MY6,Gjeep302,Android,Rotkamm,True,Sending It,High score,13449.0,Open Trick
2021-01-07 21:56:48,https://drive.google.com/open?id=1sooNVNXUrnflsrlDM1JrNp_EYmKXZJXv,Gjeep302,Android,Rotkamm,True,Freeride Heaven,High score,13625.0,Open Trick
2021-01-07 21:58:29,https://drive.google.com/open?id=1UqrOCa3uFfa3R9LC38SCej49BdifXDlU,Gjeep302,Android,Rotkamm,False,Corner Flight,High score,5.78,Airtime
2021-01-07 22:29:44,https://drive.google.com/open?id=18ZsdbKCTHlxfxtbvBg47e29usVOyMUf-,Gjeep302,Android,Rotkamm,False,The River Jumps,Time trial,41.76,Race
2021-01-09 17:36:58,https://drive.google.com/open?id=1YMJElbJgyemuCpXeVxbSK6T5tc3wsA1J,Antaris,iOS,Rotkamm,True,Freeride Heaven,High score,14734.0,Open Trick
2021-01-10 16:30:43,https://drive.google.com/open?id=110HE9Z0ZGcMsJP8-9IPUl7_zj9BZNZ5v,SYNO,iOS,Rotkamm,True,Freeride Heaven,High score,33128.0,Open Trick
2021-01-11 09:35:39,https://drive.google.com/open?id=1ZydW_ZdzUpFmTJWG7r-wenDZQKRLsVqg,Mountain_Greg,Android,Rotkamm,True,Staying Between The Stones,Time trial,25.35,Trail
2021-01-11 09:39:28,https://drive.google.com/open?id=13-yLpAauyp5PAGvVvR2nfavmFLRraaKV,Mountain_Greg,Android,Rotkamm,False,Slippery Slope,Time trial,22.73,Trail
2021-01-11 10:49:43,https://drive.google.com/open?id=1JhGooh0AZWn1uksgQHZ8JkBkkPVBxavO,SYNO,iOS,Rotkamm,False,Staying Between The Stones,Time trial,25.64,Trail
2021-01-11 11:28:11,https://drive.google.com/open?id=1YlEx5FnzRXfWdVz0yRzD0LU5AwKjz1SM,hschindele,iOS,Rotkamm,True,Staying Between The Stones,Time trial,25.27,Trail
2021-01-12 01:26:20,https://drive.google.com/open?id=12u6Lq0mEoKDowDqWxauGpCI4AaqUZoQm,Mountain_Greg,Android,Rotkamm,False,The Ice Bowl,Time trial,28.42,Race
2021-01-12 01:27:30,https://drive.google.com/open?id=1C9WMlGi1AdaaCqu5EMsOZuHmEetdTNY3,Mountain_Greg,Android,Rotkamm,False,The River Jumps,Time trial,41.47,Race
2021-01-12 01:28:46,https://drive.google.com/open?id=1XM71gQiYe-E2xuLWV3sGw6XqGUAcUk1Z,Mountain_Greg,Android,Rotkamm,False,Precision Drops,Time trial,16.72,Trail
2021-01-13 00:58:57,https://drive.google.com/open?id=1wWtXE9magwAwYxevWO9hs8EMuLjJaV2E,Mountain_Greg,Android,Rotkamm,True,Rotkamm Jumper,High score,14461.0,Gated Trick
2021-01-13 01:00:12,https://drive.google.com/open?id=1C2nsxVdC8qcow_brtJyVUj8rIFcZf0Kc,Mountain_Greg,Android,Rotkamm,True,Rotkamm Style I,High score,17007.0,Gated Trick
2021-01-13 12:09:32,https://drive.google.com/open?id=1v9Wkgl33CdSpP8A7sLvV8U4t4lD4iUR9,Fenrir,Android,Rotkamm,False,Corner Flight,High score,5.16,Airtime
2021-01-13 12:10:09,https://drive.google.com/open?id=1HAH6L1_ex5jhsNGeLHB4n1MGpfdvcBL3,Fenrir,Android,Rotkamm,False,Dropping In,Time trial,25.36,Trail
2021-01-13 12:10:57,https://drive.google.com/open?id=1Qu-F7Z8zJ5rKQ9d481uNqqDwU3ttVdex,Fenrir,Android,Rotkamm,False,Freeride Heaven,High score,15101.0,Open Trick
2021-01-13 12:11:42,https://drive.google.com/open?id=1CM9U0IUw4SD4j0iMnyDWmrI_gFvJe6h2,Fenrir,Android,Rotkamm,False,Gross Air,Time trial,9.65,Trail
2021-01-13 12:13:35,https://drive.google.com/open?id=1WrvXz7uXoGX5AmKyJSKfogY0PPaVuGcE,Fenrir,Android,Rotkamm,False,Pilgrim Run,High score,311.4,Distance
2021-01-13 12:14:31,https://drive.google.com/open?id=1KXNAjasSHr2cyizZpzHW5p0gmFUJOgf7,Fenrir,Android,Rotkamm,False,Precision Drops,Time trial,17.56,Trail
2021-01-13 12:15:50,https://drive.google.com/open?id=1jDeCv6pR-hD6kdEvY5qk6qq2XR63ivWo,Fenrir,Android,Rotkamm,False,Sketchy Bears,Time trial,28.07,Trail
2021-01-13 12:16:50,https://drive.google.com/open?id=1W-uj47vmTMoncVRxwFOtZ_jjD9gXx5Np,Fenrir,Android,Rotkamm,True,Rotkamm Jumper,High score,15242.0,Gated Trick
2021-01-13 12:17:47,https://drive.google.com/open?id=1fbMIZoi8XTLViyIJxZs97JDmCTJSVqVI,Fenrir,Android,Rotkamm,False,Rotkamm Style I,High score,16649.0,Gated Trick
2021-01-13 12:18:53,https://drive.google.com/open?id=14M_9N3t2aX9P31knYe_2deIfobnX6ymP,Fenrir,Android,Rotkamm,True,Sending It,High score,18446.0,Open Trick
2021-01-13 12:20:18,https://drive.google.com/open?id=1D8T-vznZhQx-zMK-eiQBYTTJ_o0tn33m,Fenrir,Android,Rotkamm,False,Skipping Icebergs,Time trial,29.15,Trail
2021-01-13 12:22:03,https://drive.google.com/open?id=1ET82VFqoEPZik6IBFrbLuKmuRDLioY21,Fenrir,Android,Rotkamm,False,Slippery Slope,Time trial,24.09,Trail
2021-01-13 12:23:28,https://drive.google.com/open?id=1FHCNENlYkQmA4WlD_tENfzlPR0jLFnSV,Fenrir,Android,Rotkamm,False,Staying Between The Stones,Time trial,26.51,Trail
2021-01-13 12:24:52,https://drive.google.com/open?id=14jI3KkamWyGdKQ-oI6p-DRVOZVInmU2C,Fenrir,Android,Rotkamm,False,The Broken Trail,Time trial,41.42,Race
2021-01-13 12:25:41,https://drive.google.com/open?id=1o7BYrVQPa0cm6zybWBH_157AytGb2QDu,Fenrir,Android,Rotkamm,False,The Descender,High score,91.8,Triple Drop
2021-01-13 12:27:20,https://drive.google.com/open?id=1I3L65itCbVsjHUn59OpE1iNp8QPNLgiX,Fenrir,Android,Rotkamm,False,The Green Glades,Time trial,17.34,Race
