Rank,Name,Points
0,hschindele,316293
1,Mountain_Greg,219597
2,Jamiemac,217895
3,Skier50,199293
4,SYNO,171096
5,Avel,156993
6,Ryan Monty,155597
7,massiv97,147097
8,BouncyJello,55499
9,Gjeep302,49431
10,Fenrir,16890
11,eccentricmonkey146,14099
12,Gucci Garrett,11900
13,James :),11299
