Timestamp,Verified?,Link,Name,OS,Mountain,Was WR,challenge name,type,score,chaltype
2021-04-17 07:03:03,Yes,https://drive.google.com/open?id=1E6xyNz_XQ-unPVaCkL2RGGToIHhgA-2z,Skier50,iOS,Passo Grolla,True,Offpiste Paradise,High score,56261.0,Open Trick
2021-04-18 16:18:36,Yes,https://drive.google.com/open?id=1oBDjD6LOYfphRXE4YY5ty_JhpOZ4owt1,Skier50,iOS,Ben Ailig,True,Meall Lines,High score,40619.0,Distance
2021-06-30 19:19:39,Yes,https://drive.google.com/open?id=1wJH1XfFWYTWnU_N9PaMSTEDn7w7vlVxd,Skier50,iOS,Hirschalm,True,Glacier Park,High score,34703.0,Open Trick
2021-06-30 19:20:23,Yes,https://drive.google.com/open?id=1s0yiBrDzcGPemwLGkMEImbYuZRDTDZPb,Skier50,iOS,Waldtal,True,Waldhorn Slopestyle,High score,54149.0,Gated Trick
2021-02-18 19:38:33,Yes,https://drive.google.com/open?id=1BKEEp1vFLtSMvqaUUNIaG7KZnp4Lmcx6,BouncyJello,Android,Waldtal,True,The Fork,High score,382.7,Distance
2021-02-18 19:46:11,Yes,https://drive.google.com/open?id=1DBE2beWjSkKoALzOW5dsBaY_XP5bUX2n,BouncyJello,Android,Rotkamm,True,Pilgrim Run,High score,406.2,Distance
2020-12-21 18:47:17,Yes,https://drive.google.com/open?id=1eAQldMSoMZf6xgtpRscbDiXd8xYv4yb-,James :),Android,Pinecone Peaks,True,Desolate Drops,High score,16.33,Airtime
2021-04-16 07:43:50,Yes,https://drive.google.com/open?id=1C-r7ahAbPPDIydTE8xvTjXbEi-LZPGf9,Skier50,iOS,Mount Fairview,True,The Sidehit Road,High score,35349.0,Gated Trick
2021-05-25 13:41:52,Yes,https://drive.google.com/open?id=1CrcLJI6d0qmMnvr7vmCdshuT-XmY35od,Skier50,iOS,Mount Fairview,True,The Woodland Jam,High score,54288.0,Open Trick
2021-02-18 19:43:04,Yes,https://drive.google.com/open?id=12V0SQln8NPW_lHjrUSokWus3wNCNWNyD,BouncyJello,Android,Elnakka,True,The Road Gaps,High score,130.0,Triple Drop
2021-02-18 19:41:17,Yes,https://drive.google.com/open?id=1F9AntIumijX5bBr4cMdo5wxK6lzoj5_L,BouncyJello,Android,Elnakka,True,Overshooting,High score,72.0,Single Drop
2020-12-31 00:34:29,Yes,https://drive.google.com/open?id=1qpV-fACV22DCdlO6UaWMXvuzu1HZ-y1h,Shadow,iOS,Elnakka,True,The Yards,High score,68.4,Long Jump
2021-07-09 11:32:59,Yes,https://drive.google.com/open?id=1XLow1H_ZC5xiDguLL-IP7c6rI3kruWg6,Skier50,iOS,Dalarna,True,Orsa Animal Park,High score,64053.0,Gated Trick
2021-06-30 19:21:09,Yes,https://drive.google.com/open?id=1oVcrUgI190qrqNHSYZFNE-4IJczeeGmB,Skier50,iOS,Elnakka,True,The Boulder Hill Descent,High score,52510.0,Gated Trick
2021-06-15 17:04:41,Yes,https://drive.google.com/open?id=11WI0EW69Bw_d3tphx5TtdJ1J2vUq7mrX,Skier50,iOS,Dalarna,True,Fulu Air,High score,18631.0,Single Trick
2021-07-05 21:19:20,Yes,https://drive.google.com/open?id=1rpC0ZYVQSalq__liZSoffIUvu6bdePDs,Skier50,iOS,Elnakka,True,XL Park World,High score,100887.0,Gated Trick
2021-06-30 19:24:49,Yes,https://drive.google.com/open?id=1u4DR4gm9dPcYzXMZeHmrnIzbM22GaHdk,Skier50,iOS,Ben Ailig,True,Boyne trickster,High score,40868.0,Open Trick
2020-12-31 19:20:24,Yes,https://drive.google.com/open?id=1J2t8Y2Lmg2HzgwQcI7JgQNBEKwqvJpcj,BouncyJello,Android,Waldtal,True,The Waldhorn Falls,High score,110.1,Triple Drop
