Rank,Name,Points
0,hschindele,500387
1,Jamiemac,476090
2,Mountain_Greg,469490
3,Skier50,346286
4,Avel,319890
5,massiv97,306586
6,Ryan Monty,300485
7,GrandMk,29899
8,James :),14600
9,waxton,13900
10,Pinsek,11499
11,Foxster,10800
12,Fenrir,8830
13,Susannah,4665
