Rank,Name,Points
0,hschindele,467600
1,Mountain_Greg,408700
2,massiv97,364800
3,Jamiemac,345600
4,BouncyJello,299600
5,Ryan Monty,293700
6,SYNO,262400
7,Avel,251031
8,Skier50,215000
9,Gjeep302,194400
10,Pinsek,165200
11,Fenrir,97257
12,Lars Schrier,24375
13,Antaris,23400
14,DeathSpawned,21500
15,Susannah,12500
16,Chesty,11000
17,Gucci Garrett,7813
18,Foxster,7163
19,SwampfoxAK,6806
