Rank,Name,Points
0,hschindele,474893
1,Mountain_Greg,398394
2,Avel,358094
3,Jamiemac,351895
4,SYNO,276590
5,Skier50,269995
6,massiv97,261792
7,Ryan Monty,218691
8,BouncyJello,185676
9,Pinsek,166993
10,Gjeep302,163655
11,Lars Schrier,112634
12,Fenrir,77309
13,LC43,38250
14,James :),23999
15,Caard,15899
16,Olm842 ,11000
17,SwampfoxAK,6387
18,Antaris,5358
