Rank,Name,Points
0,Jamiemac,424500
1,Mountain_Greg,391900
2,Avel,370600
3,hschindele,322200
4,massiv97,265600
5,Skier50,199300
6,SYNO,171100
7,Ryan Monty,155600
8,BouncyJello,55500
9,Gjeep302,49432
10,Jonathan,49400
11,Fenrir,16890
12,PelagusPlays,16499
13,eccentricmonkey146,14100
14,NicoExMachina,12400
15,Gucci Garrett,11900
16,James :),11300
17,Foxster,11000
