Rank,Name,Points
0,hschindele,281900
1,Mountain_Greg,203800
2,Jamiemac,175073
3,massiv97,162216
4,Skier50,137800
5,Avel,133100
6,Ryan Monty,129200
7,Gjeep302,125000
8,BouncyJello,122823
9,SYNO,100200
10,Pinsek,91000
11,Fenrir,67894
12,eFrostyy,67685
13,PelagusPlays,53901
14,Shadow,53100
15,Chesty,37381
16,🍊Koolaid,27582
17,Lars Schrier,23989
18,Susannah,19127
