Rank,Name,Points
0,hschindele,389494
1,Mountain_Greg,324588
2,Avel,320595
3,Jamiemac,316896
4,Skier50,230792
5,Ryan Monty,227591
6,massiv97,227194
7,SYNO,189993
8,🍊Koolaid,183614
9,Gjeep302,182995
10,Pinsek,136291
11,BouncyJello,130980
12,Foxster,109496
13,Fenrir,76178
14,Lars Schrier,42193
15,SwampfoxAK,22704
16,Antaris,21899
17,Caard,15700
18,Dylanlew2,13900
19,LC43,12699
20,Skihero,12399
21,Gucci Garrett,10200
22,Chesty,6658
