Name,Timestamp,type,OS,challenge name,Mountain,score,Points
Fenrir,2021-01-12 17:54:24,Time trial,Android,The Winding Road,Hirschalm,39.78,7760
Gjeep302,2021-01-14 8:26:31,Time trial,Android,The Winding Road,Hirschalm,38.35,11499
Jamiemac,2021-04-08 12:56:30,Time trial,Android,The Winding Road,Hirschalm,37.3,22000
Mountain_Greg,2021-04-04 1:46:41,Time trial,Android,The Winding Road,Hirschalm,37.78,17199
PelagusPlays,2021-03-11 19:57:11,Time trial,iOS,The Winding Road,Hirschalm,40.03,7385
Pinsek,2021-03-09 16:45:38,Time trial,Android,The Winding Road,Hirschalm,38.46,10399
Ryan Monty,2021-04-27 14:34:38,Time trial,Android,The Winding Road,Hirschalm,37.76,17400
SYNO,2021-01-20 15:18:50,Time trial,iOS,The Winding Road,Hirschalm,38.41,10900
Skier50,2021-03-05 11:28:10,Time trial,iOS,The Winding Road,Hirschalm,38.13,13699
Susannah,2021-09-27 12:41:56,Time trial,Android,The Winding Road,Hirschalm,38.88,9275
eFrostyy,2021-02-12 16:01:58,Time trial,Android,The Winding Road,Hirschalm,39.31,8517
hschindele,2021-04-08 21:34:02,Time trial,iOS,The Winding Road,Hirschalm,36.62,28800
massiv97,2021-01-21 12:32:41,Time trial,Android,The Winding Road,Hirschalm,38.13,13699
Avel,2021-07-13 7:15:31,Time trial,iOS,Over The Fence,Hirschalm,18.68,23200
BouncyJello,2020-03-11 7:57:00,Time trial,Android,Over The Fence,Hirschalm,20.0,10000
Fenrir,2021-01-10 18:20:54,Time trial,Android,Over The Fence,Hirschalm,20.63,6461
Gjeep302,2021-02-16 9:00:24,Time trial,Android,Over The Fence,Hirschalm,19.13,18700
Jamiemac,2021-03-18 16:46:38,Time trial,Android,Over The Fence,Hirschalm,19.03,19699
Mountain_Greg,2021-07-18 2:05:12,Time trial,Android,Over The Fence,Hirschalm,19.27,17300
PelagusPlays,2021-03-11 20:03:06,Time trial,iOS,Over The Fence,Hirschalm,20.26,8350
Pinsek,2021-03-09 11:01:15,Time trial,Android,Over The Fence,Hirschalm,19.99,10100
Ryan Monty,2021-02-28 18:07:18,Time trial,Android,Over The Fence,Hirschalm,19.69,13099
SYNO,2021-01-13 18:35:41,Time trial,iOS,Over The Fence,Hirschalm,19.65,13500
Shadow,2020-11-23 19:46:16,Time trial,iOS,Over The Fence,Hirschalm,19.12,18799
Skier50,2021-02-15 6:14:08,Time trial,iOS,Over The Fence,Hirschalm,19.99,10100
Susannah,2021-09-27 12:43:31,Time trial,Android,Over The Fence,Hirschalm,20.42,7474
