Rank,Name,Points
0,hschindele,440700
1,Mountain_Greg,395400
2,Jamiemac,368700
3,Skier50,324300
4,SYNO,319100
5,massiv97,298300
6,BouncyJello,277333
7,Gjeep302,264911
8,Ryan Monty,241100
9,Avel,211992
10,Pinsek,179100
11,Fenrir,137537
12,Lars Schrier,89076
13,DeathSpawned,26700
14,Shadow,23000
15,LC43,11100
16,Bramspr,10266
17,James :),9980
18,waxton,8213
19,Chesty,7305
20,Antaris,6612
