Rank,Name,Points
0,hschindele,710387
1,Avel,567488
2,Jamiemac,546186
3,Mountain_Greg,531388
4,Skier50,449785
5,massiv97,394888
6,Ryan Monty,318191
7,SYNO,299190
8,Gjeep302,257890
9,BouncyJello,244696
10,Pinsek,206390
11,Fenrir,105222
12,James :),54698
13,Lars Schrier,45577
14,SanicBuum,42399
15,magicshack,41999
16,Caard,20699
17,LC43,19125
18,PelagusPlays,14270
19,SwampfoxAK,9666
20,Aleflight20,7530
21,Dylanlew2,5743
22,Bramspr,4495
