Rank,Name,Points
0,Avel,40001
1,BouncyJello,20001
2,Jamiemac,16953
3,hschindele,16492
4,Mountain_Greg,16180
5,SYNO,11551
6,Dylanlew2,11119
7,Gjeep302,10932
8,massiv97,10590
9,Skier50,10456
10,Fenrir,10389
11,Bramspr,4020
12,eFrostyy,3829
