Rank,Name,Points
0,Avel,134408
1,Jamiemac,97487
2,Mountain_Greg,94137
3,massiv97,88004
4,hschindele,50409
5,BouncyJello,20000
6,Jonathan,20000
7,Olm842,19123
8,Skier50,10127
9,SYNO,10042
10,James :),9980
11,Fenrir,7499
12,Chesty,7305
