Rank,Name,Points
0,Avel,225119
1,Jamiemac,220879
2,Mountain_Greg,201185
3,massiv97,165282
4,PelagusPlays,57086
5,Jonathan,40000
6,Skier50,20001
7,Olm842,18289
8,Foxster,11997
9,┴҉ɥ̶́ɐ̶͞͠ʇ̕͡͝𝓸̡̧͜𝓾̶͘ǝ̶̕פ̨͘𝓷̸̛͘ʎ,9
