Rank,Name,Points
0,hschindele,507600
1,Mountain_Greg,331300
2,Jamiemac,325900
3,Avel,303700
4,Skier50,266100
5,massiv97,266000
6,Ryan Monty,241700
7,SYNO,233300
8,Gjeep302,217700
9,BouncyJello,181985
10,Gucci Garrett,139000
11,Pinsek,136300
12,Fenrir,89003
13,Lars Schrier,78993
14,SwampfoxAK,22704
15,Antaris,21900
16,Avel ,16000
17,Shadow,15700
18,Dylanlew2,13900
19,LC43,12700
20,Bramspr,8383
21,Chesty,6658
