Rank,Name,Points
0,hschindele,464727
1,Mountain_Greg,393592
2,Jamiemac,345593
3,massiv97,308880
4,BouncyJello,299594
5,Ryan Monty,293692
6,SYNO,262397
7,Avel,217026
8,Skier50,214993
9,Gjeep302,194395
10,Pinsek,165194
11,Fenrir,97255
12,Lars Schrier,24375
13,Antaris,23399
14,DeathSpawned,21499
15,Susannah,12500
16,Chesty,11000
17,SwampfoxAK,6806
18,Gucci Garrett,6245
