Rank,Name,Points
0,hschindele,258093
1,Mountain_Greg,203794
2,Jamiemac,175070
3,massiv97,162211
4,Skier50,137794
5,Ryan Monty,129196
6,Gjeep302,124995
7,BouncyJello,122823
8,Avel,113097
9,SYNO,100197
10,Pinsek,90997
11,Fenrir,67893
12,eFrostyy,67683
13,PelagusPlays,53901
14,Shadow,53097
15,Chesty,37380
16,🍊Koolaid,27582
17,Lars Schrier,23988
18,Susannah,10300
