Rank,Name,Points
0,Skier50,160790
1,Jamiemac,145212
2,SYNO,137502
3,massiv97,128188
4,Mountain_Greg,121120
5,DeathSpawned,57937
6,Avel,44192
7,hschindele,33277
8,James :),32462
9,Gjeep302,24028
10,BouncyJello,20001
11,Bramspr,18026
12,magicshack,14564
13,Dylanlew2,12854
14,Ryan Monty,12315
15,PelagusPlays,12278
16,Bringstmanuoane,10001
17,Fenrir,3902
18,Lars Schrier,894
