Rank,Name,Points
0,Avel,38769
1,hschindele,31534
2,Foxster,30629
3,Jamiemac,30257
4,massiv97,28279
5,Mountain_Greg,26249
6,🍊Koolaid,20668
7,PelagusPlays,20243
8,Gjeep302,19885
9,OKAR_Spec,19097
