Rank,Name,Points
0,Avel,183724
1,Jamiemac,157119
2,Mountain_Greg,152054
3,massiv97,142539
4,hschindele,141284
5,BouncyJello,38008
6,Skier50,31235
7,Jonathan,20000
8,Lars Schrier,15117
9,Ryan Monty,14928
10,SYNO,11487
11,🍊Koolaid,10427
12,Gjeep302,7755
13,Fenrir,7509
14,SwampfoxAK,4575
