Rank,Name,Points
0,Jamiemac,143077
1,Avel,141839
2,Mountain_Greg,107754
3,massiv97,93727
4,hschindele,54500
5,CrystalEel13467,20000
6,BouncyJello,19623
7,Olm842,19101
8,Ryan Monty,17978
9,Skier50,10310
10,PelagusPlays,6698
11,SYNO,6654
12,ThomasMathews,6631
13,Gjeep302,6528
