Timestamp,Link,Name,OS,Mountain,Select TT Challenge.10,Enter time as (sec).(mil) EX: 62.69.10,Select HS Challenge.10,Enter score as just a number.10,Challenge Type.9,Was WR,Unnamed: 69,challenge name,type,score,chaltype
2021-06-23 19:31:07,https://drive.google.com/open?id=1uSSsTkCHLtym24b78ZZy4aNiCy93Ds3y,hschindele,iOS,Mount Fairview,,,,,,FALSE,Trail,The Woodpecker Trail,Time Trial,57.04,Trail
2021-06-30 19:15:50,https://drive.google.com/open?id=1pgANPbyL3rLxp3fEYMwiTFzP0BFEHwuO,Skier50,iOS,Mount Fairview,,,,,,TRUE,Trail,The Woodpecker Trail,Time Trial,48.46,Trail
2021-07-05 13:26:08,https://drive.google.com/open?id=1RQ1trRAWEN_GuIHaT0dYXWWJTaIJO4kI,hschindele,iOS,Mount Fairview,,,,,,TRUE,Trail,The Woodpecker Trail,Time Trial,47.04,Trail
2021-07-11 12:15:30,https://drive.google.com/open?id=1i-FOBemDDaHQaeROlJb54gR7j3573-8V,Skier50,iOS,Mount Fairview,,,,,,FALSE,Race,Grand Mountain Cup II,Time Trial,31.82,Race
2021-07-11 12:16:49,https://drive.google.com/open?id=18mOxxQVKuEULJoRfW11T6U45m_tJTYh7,Skier50,iOS,Mount Fairview,,,,,,FALSE,TTB,Serenade Summit Race,Time Trial,39.24,TTB
2021-07-15 4:17:12,https://drive.google.com/open?id=1OPRuwp3QB7zDsJUwb8PyjI1h-n5jyHTj,massiv97,Android,Mount Fairview,,,,,,FALSE,Race,Fairview Cloud Line,Time Trial,23.22,Race
2021-07-18 2:06:38,https://drive.google.com/open?id=1UMEwlTKpV65Pi2_tUl7yLY2jmpLlA__8,Mountain_Greg,Android,Mount Fairview,,,,,,FALSE,Race,Grand Mountain Cup II,Time Trial,31.84,Race
2021-09-25 6:52:52,https://drive.google.com/open?id=1mEAeOBIswLCae511MDaav5KMDk8UByOy,Avel,iOS,Mount Fairview,,,,,,TRUE,,Best Eagle Cookie Park,High score,24050.0,Gated Trick
2021-09-25 6:54:46,https://drive.google.com/open?id=1vsj-ujQ_aQ4V8b4RoKLfi_gq1nm8_aGB,Avel,iOS,Mount Fairview,,,,,,TRUE,,Ollies Invite Only,High score,47624.0,Gated Trick
2021-09-25 6:56:36,https://drive.google.com/open?id=1RiqdzTQfdHInqi1LVsvHpYnEaPF6w5Mw,Avel,iOS,Mount Fairview,,,,,,TRUE,,Freeride Scout,High score,32820.0,Open Trick
2021-09-25 6:59:10,https://drive.google.com/open?id=1RVNzXQeswCMF4TigcuGKfRudUBBtRKqy,Avel,iOS,Mount Fairview,,,,,,TRUE,,Booster Berries,High score,32744.0,Open Trick
2021-09-25 7:02:30,https://drive.google.com/open?id=1AwZ0ry7_yJMmS3DsCB21-kVL_tOo86Z4,Avel,iOS,Mount Fairview,,,,,,TRUE,,The Sidehit Road,High score,28542.0,Gated Trick
