Rank,Name,Points
0,Avel,111501
1,Jamiemac,63217
2,hschindele,62392
3,BouncyJello,50907
4,SYNO,43177
5,massiv97,38721
6,Gjeep302,37020
7,Mountain_Greg,36832
8,Lars Schrier,35159
9,Skier50,34943
10,Ryan Monty,14143
11,Fenrir,13277
12,Gucci Garrett,8909
13,Bramspr,8855
