Rank,Name,Points
0,hschindele,449100
1,Mountain_Greg,394600
2,massiv97,373700
3,Jamiemac,334200
4,Skier50,301200
5,Avel,297719
6,SYNO,288100
7,Ryan Monty,233600
8,BouncyJello,223679
9,Gjeep302,171418
10,Pinsek,167000
11,Lars Schrier,127757
12,Fenrir,84818
13,LC43,38250
14,James :),24000
15,SwampfoxAK,10962
16,Antaris,5358
