Rank,Name,Points
0,Mountain_Greg,527137
1,hschindele,496900
2,Jamiemac,473600
3,massiv97,408023
4,Avel,378800
5,Skier50,366300
6,Ryan Monty,300500
7,Foxster,36753
8,GrandMk,29900
9,PelagusPlays,20000
10,James :),14600
11,waxton,13900
12,Pinsek,11500
13,Fenrir,8830
14,Susannah,4665
15,┴҉ɥ̶́ɐ̶͞͠ʇ̕͡͝𝓸̡̧͜𝓾̶͘ǝ̶̕פ̨͘𝓷̸̛͘ʎ,9
