Rank,Name,Points
0,hschindele,716589
1,Mountain_Greg,530592
2,Jamiemac,496688
3,Avel,452093
4,Ryan Monty,411292
5,SYNO,382588
6,massiv97,350488
7,Skier50,342388
8,BouncyJello,195998
9,Fenrir,121613
10,Pinsek,84997
11,James :),83099
12,SanicBuum,48698
13,OKAR_Spec,39500
14,Mimoskiia,10599
